Repo,Pull Request,Status,Description,Timestamp,URL
ME-ICA/tedana,1012,merged,Fixed Inappropriate Logical Expression,"2023-12-19T20:29:45Z
",https://github.com/ME-ICA/tedana/pull/1012
celery/kombu,1828,merged,Fixed Improper Method Call: Replaced `mktemp`,"2023-12-06T12:41:14Z
",https://github.com/celery/kombu/pull/1828
gramps-project/gramps,1623,open,Fixed Improper Method Call: `__enter__` and `__exit__`,"2024-02-07T21:54:10Z
",https://github.com/gramps-project/gramps/pull/1623
Checkmk/checkmk,652,closed,Fixed Improper Method Call: Replaced `NotImplementedError`,"2024-06-10T06:59:41Z
",https://github.com/Checkmk/checkmk/pull/652
bumps/bumps,131,merged,Fixed Improper Method Call: `__getitem__`,"2023-12-15T17:01:20Z
",https://github.com/bumps/bumps/pull/131
PyMVPA/PyMVPA,635,open,Fixed Improper Method Call: `__neg__`,"2023-12-05T11:34:24Z
",https://github.com/PyMVPA/PyMVPA/pull/635
PyMVPA/PyMVPA,634,open,Fixed Improper Method Call: Replaced `mktemp`,"2023-12-05T11:30:33Z
",https://github.com/PyMVPA/PyMVPA/pull/634
googleapis/python-bigquery-dataframes,258,merged,fix: replaced raise `NotImplementedError` with return `NotImplemented`,"2023-12-12T20:32:55Z
",https://github.com/googleapis/python-bigquery-dataframes/pull/258
Qiskit/qiskit,11371,open,Fixed Improper Method Call: Replaced `NotImplementedError`,"2023-12-05T10:38:16Z
",https://github.com/Qiskit/qiskit/pull/11371
SCons/scons,4448,merged,Fixed Improper Method Call: Replaced `NotImplementedError`,"2023-12-06T16:02:50Z
",https://github.com/SCons/scons/pull/4448
radio-astro-tools/spectral-cube,896,closed,Fixed Improper Method Call: Replaced `NotImplementedError`,"2023-12-08T14:22:29Z
",https://github.com/radio-astro-tools/spectral-cube/pull/896
radio-astro-tools/spectral-cube,895,open,Fixed Improper Method Call: Replaced `mktemp`,"2023-12-18T05:41:48Z
",https://github.com/radio-astro-tools/spectral-cube/pull/895
isard-vdi/isard,449,open,Fixed Improper Method Call: Updated `__exit__`,"2023-12-04T11:56:19Z
",https://github.com/isard-vdi/isard/pull/449
imageio/imageio,1055,merged,Fixed Improper Method Call: Replaced `mktemp`,"2023-12-05T07:46:33Z
",https://github.com/imageio/imageio/pull/1055
openedx/edx-platform,33874,open,Fixed Improper Method Call: Replaced `mktemp`,"2024-08-23T20:45:27Z
",https://github.com/openedx/edx-platform/pull/33874
Parsl/parsl,2969,open,Introduced Safer FTP Alternative: Added `FTP_TLS`,"2023-11-28T11:37:42Z
",https://github.com/Parsl/parsl/pull/2969
motioneye-project/motioneye,2877,open,Introduced Safer FTP Alternative: Added `FTP_TLS`,"2023-12-21T16:43:38Z
",https://github.com/motioneye-project/motioneye/pull/2877
mlflow/mlflow,10469,open,Introduced Safer FTP Alternative: Added `FTP_TLS`,"2023-11-21T07:43:55Z
",https://github.com/mlflow/mlflow/pull/10469
GeotrekCE/Geotrek-admin,3837,open,Introduced Safer FTP Alternative: Added `FTP_TLS`,"2024-03-06T08:18:18Z
",https://github.com/GeotrekCE/Geotrek-admin/pull/3837
jertel/elastalert2,1313,closed,Introduced Safer SMTP Alternative: Added `SMTP_SSL`,"2024-02-24T02:05:27Z
",https://github.com/jertel/elastalert2/pull/1313
facebookresearch/Detectron,1048,open,Introduced Safer SMTP Alternative: Added `SMTP_SSL`,"2023-11-20T11:05:55Z
",https://github.com/facebookresearch/Detectron/pull/1048
conan-io/conan,15137,merged,Introduced Safer FTP Alternative: Added `FTP_TLS`,"2023-12-19T11:45:10Z
",https://github.com/conan-io/conan/pull/15137
mediacloud/backend,846,open,Introduced Safer SMTP Alternative: Added `SMTP_SSL`,"2023-11-20T07:57:57Z
",https://github.com/mediacloud/backend/pull/846
autotest/autotest,1083,open,Introduced Safer SMTP Alternative: Added `SMTP_SSL`,"2023-11-20T07:22:50Z
",https://github.com/autotest/autotest/pull/1083
arskom/spyne,702,open,Introduced Safer SMTP Alternative: Added `SMTP_SSL`,"2023-11-20T06:06:06Z
",https://github.com/arskom/spyne/pull/702
ros-infrastructure/bloom,711,open,Fixed Inappropriate Logic: Removed logical short circuit,"2023-11-17T05:56:18Z
",https://github.com/ros-infrastructure/bloom/pull/711
